Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
85.49, Will Barton,SG,DEN,LAL,1H,6400,24.9,5.7,37.2,11.8,0.3,20.2,36.7,53.2,29.1,20.5,22.1,29.5,1.0,20.02,0,0,1000,1500,204.0,104.5,99.5,-5.0,82,1.0,2.9,86,2,-0.1,"Buchert,  Goble,  Twardoski",,56,84,95,29,13,70,Y,91,0,98,100,83,477585,77,94,64,5,0,38.6,False,61,23,15,38,31,30,3,12406,30028002,201,3002800
84.41, Jameer Nelson,PG,DEN,LAL,1H,4600,17.05,5.3,34.6,7.15,2.5,12.6,24.2,35.8,19.0,17.7,18.2,18.3,1.0,9.94,0,0,300,-200,204.0,104.5,99.5,-5.0,82,1.0,1.9,74,2,-0.1,"Buchert,  Goble,  Twardoski",,97,97,69,39,13,64,Y,74,0,95,93,72,477502,77,70,52,21,0,18.6,False,61,23,15,34,34,31,3,12664,30028002,201,3002800
81.38, Jeff Green,SF,MEM,@PHI,1A,4400,16.17,5.1,33.6,6.43,0.9,8.6,22.6,36.6,20.2,20.0,17.7,19.1,2.8,10.73,0,0,-100,-200,194.5,102.3,92.3,-10.0,72,-0.2,1.6,70,3,0.0,"Capers,  Forte,  Orr",,75,96,70,84,15,93,Y,63,0,93,91,41,477724,74,64,62,69,0,13.6,False,26,66,6,25,49,24,3,12160,30027701,201,3002770
79.46, Terrence Ross,SG,TOR,DAL,  ,3900,13.99,5.7,37.6,8.31,0.2,11.8,22.3,32.8,14.8,13.8,15.4,16.4,2.7,10.37,0,0,400,400,195.0,99.8,95.3,-4.5,59,0.5,0.6,55,2,0.0,"Adams,  Ervin ,  Malloy",,53,84,60,80,14,80,Y,72,0,98,96,81,477569,58,63,37,17,0,23.1,False,42,50,7,37,46,16,3,12375,30027902,201,3002790
76.91, Luis Scola,PF,TOR,DAL,  ,4300,15.74,4.7,25.8,4.36,1.8,5.7,20.1,34.5,17.8,18.9,19.0,21.5,2.7,14.72,0,0,-300,100,195.0,99.8,95.3,-4.5,59,0.5,2.8,86,2,0.0,"Adams,  Ervin ,  Malloy",,92,95,65,62,14,81,Y,41,0,86,81,69,477386,58,55,57,80,0,27.8,False,35,28,35,33,40,25,3,12621,30027902,201,3002790
76.37, Raymond Felton,PG,DAL,@TOR,1A,4900,18.35,4.8,33.6,5.15,0.7,11.6,23.5,35.4,25.3,13.4,17.9,19.2,-2.7,11.07,0,0,1400,900,195.0,95.3,99.8,4.5,32,0.0,-0.1,46,4,0.0,"Adams,  Ervin ,  Malloy",,69,94,67,22,13,57,Y,71,0,88,86,78,477520,42,68,36,2,0,20.3,False,84,15,0,36,28,35,3,12013,30027901,201,3002790
76.34, Nikola Jokic,C,DEN,LAL,1H,4200,15.3,4.8,22.1,5.0,2.7,7.0,20.3,33.6,18.0,17.2,18.3,17.1,1.0,20.7,0,0,-100,700,204.0,104.5,99.5,-5.0,82,1.0,3.5,91,2,-0.1,"Buchert,  Goble,  Twardoski",,97,61,62,91,12,25,Y,57,0,88,85,64,477785,77,56,50,69,0,31.5,False,16,66,16,32,52,16,3,12576,30028002,201,3002800
75.55, Gary Harris,SG,DEN,LAL,1H,3700,13.12,5.1,29.1,5.88,0.3,8.2,19.0,29.8,15.6,10.4,15.5,17.7,1.0,11.76,0,0,-400,-500,204.0,104.5,99.5,-5.0,82,1.0,-2.5,24,2,-0.1,"Buchert,  Goble,  Twardoski",,56,89,51,69,7,59,Y,61,0,93,89,21,477731,77,51,22,84,0,24.7,False,28,42,28,16,42,40,3,12531,30028002,201,3002800
75.55, Bismack Biyombo,C,TOR,DAL,  ,4600,17.05,4.9,31.5,5.65,0.2,4.9,22.7,40.5,22.5,17.3,10.5,11.0,2.7,12.56,0,0,1000,400,195.0,99.8,95.3,-4.5,59,0.5,2.4,80,2,0.0,"Adams,  Ervin ,  Malloy",,53,95,79,20,14,72,Y,37,0,90,88,86,477783,58,65,50,5,0,38.0,False,64,28,7,40,27,31,3,12325,30027902,201,3002790
74.1, Matt Barnes,SF,MEM,@PHI,1A,4900,18.35,4.6,30.2,4.05,0.9,11.1,22.4,33.7,23.9,20.3,16.3,16.3,2.8,12.73,0,0,1100,1100,194.5,102.3,92.3,-10.0,72,-0.2,3.7,93,3,0.0,"Capers,  Forte,  Orr",,75,95,63,47,15,92,Y,70,0,83,79,86,477542,74,64,63,4,0,32.0,False,66,13,20,40,36,22,3,12619,30027701,201,3002770
