Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
89.45, Jon Leuer,PF,PHX,PHI,  ,4400,16.17,6.1,27.8,10.7,1.5,13.0,26.9,40.8,22.6,13.3,17.7,22.37,-2.0,16.53,5,1,900,900,205.0,108.5,96.5,-12.0,92,0.5,0.2,48,3,-0.2,"Courtney Kirkland, Mitchell Ervin , Monty McCutchen",,89,99,79,84,16,66,,74,67,98,98,51,1066530,71,77,35,6,1,,False,62,18,18,28,48,22,3,12352,30048002,201,3004800
88.3, Anthony Davis,PF,NO,HOU,2H,10400,42.35,5.0,40.6,9.3,0.7,32.3,51.6,70.9,45.5,46.8,26.2,29.92,1.1,25.05,8,2,-700,-800,210.5,104.8,105.8,1.0,83,-2.0,0.6,53,1,-0.1,"Bill Spooner, J.T. Orr, Mark Ayotte",,69,61,99,65,14,70,,99,92,92,97,64,1067195,25,99,99,92,2,,False,42,28,28,32,41,25,3,12369,30047502,201,3004750
87.45, Jose Juan Barea,PG,DAL,CHI,  ,3800,13.55,6.6,31.8,11.7,0.3,8.8,25.2,41.6,18.5,16.1,23.8,20.78,1.2,13.83,6,0,,-700,201.0,101.8,99.3,-2.5,70,-0.5,1.9,74,3,0.2,"Derrick Collins, James Capers, Leon Wood",,56,94,81,47,7,75,,63,78,99,100,86,1066471,46,72,46,50,0,,False,57,14,28,40,36,24,3,12154,30047802,201,3004780
86.49, Marcin Gortat,C,WAS,@BKN,  ,7100,27.95,5.1,36.7,8.0,1.1,19.2,35.9,52.6,32.4,27.5,18.7,20.81,-2.5,17.16,7,0,1200,600,205.5,104.3,101.3,-3.0,81,-0.2,3.1,88,3,0.0,"Eli Roe, Kane Fitzgerald, Zach Zarba",,81,61,95,57,12,88,,90,86,93,95,72,1066246,75,93,82,3,0,,False,50,50,0,34,39,26,3,12036,30047101,201,3004710
85.08, Kristaps Porzingis,PF,NY,@ATL,  ,6300,24.46,4.6,29.2,4.5,1.5,14.2,29.0,43.8,28.1,28.6,22.2,24.33,1.9,18.43,11,1,-800,1500,202.5,97.8,104.8,7.0,46,0.3,5.1,97,3,0.1,"Brian Forte, Eric Lewis, Lauren Holtkamp",,89,99,85,18,14,30,,80,99,83,81,97,1066401,58,82,84,94,1,,False,35,35,28,53,26,20,3,12577,30047601,201,3004760
85.0, LeBron James,SF,CLE,@POR,2A,10400,42.35,4.9,37.7,8.3,0.5,34.1,50.6,67.1,46.0,46.8,33.0,35.59,2.0,26.62,9,0,300,-600,196.0,102.0,94.0,-8.0,71,-0.3,2.8,85,1,-0.4,"Rodney Mott, Ron Garretson, Scott Twardoski",,62,51,99,84,11,78,,99,96,90,96,58,1066573,70,99,99,21,0,,False,27,63,9,30,48,20,3,12624,30048201,201,3004820
83.99, Giannis Antetokounmpo,SG,MIL,TOR,  ,6800,26.64,4.7,35.5,5.6,1.2,19.9,32.2,44.5,28.6,28.6,20.7,20.77,0.0,17.33,8,0,-200,600,193.0,95.0,98.0,3.0,30,-0.5,2.5,82,3,-0.2,"Derek Richardson, James Williams, Sean Wright",,83,65,86,47,14,84,,91,92,86,88,75,1066299,38,88,84,75,0,,False,35,35,28,35,36,27,3,12485,30047202,201,3004720
83.01, Jared Dudley,SF,WAS,@BKN,  ,4100,14.86,5.2,37.9,6.6,1.1,10.3,21.5,32.7,19.4,16.4,11.5,12.55,-2.5,12.1,5,1,600,100,205.5,104.3,101.3,-3.0,81,-0.2,1.2,63,3,0.0,"Eli Roe, Kane Fitzgerald, Zach Zarba",,81,96,60,39,15,73,,68,67,94,91,84,1066250,75,61,47,12,1,,False,73,20,6,39,34,26,3,12170,30047101,201,3004710
82.98, Garrett Temple,PG,WAS,@BKN,  ,4300,15.74,6.1,36.9,10.4,0.3,15.4,26.1,36.8,15.5,11.2,15.1,22.57,-2.5,11.68,2,2,800,700,205.5,104.3,101.3,-3.0,81,-0.2,-1.0,36,3,0.0,"Eli Roe, Kane Fitzgerald, Zach Zarba",,56,91,71,62,15,52,,82,22,98,98,58,1066253,75,75,25,7,2,,False,33,60,6,30,40,28,3,12266,30047101,201,3004710
82.9, Taj Gibson,PF,CHI,@DAL,2A,4700,17.48,5.0,32.8,5.9,2.2,7.7,23.4,39.3,20.3,19.5,14.4,14.29,-1.2,15.52,4,0,400,-200,201.0,99.3,101.8,2.5,56,1.5,1.2,64,1,0.2,"Derrick Collins, James Capers, Leon Wood",,95,84,77,84,14,79,,60,54,92,89,37,1066455,54,67,60,17,0,,False,42,35,21,24,48,27,3,12247,30047801,201,3004780
82.61, Gorgui Dieng,C,MIN,IND,  ,5300,20.1,5.2,28.8,7.2,0.3,11.9,27.3,42.7,24.8,24.3,15.6,19.95,1.4,16.55,5,0,1200,400,206.0,100.8,105.3,4.5,65,-1.0,2.2,79,3,-0.3,"Brent Barnaky, Tom Washington, Tyler Ford",,56,84,83,47,14,74,,72,67,94,93,78,1066441,24,78,76,3,0,,False,57,42,0,36,36,27,3,12457,30047702,201,3004770
82.54, Thaddeus Young,PF,BKN,WAS,  ,7000,27.52,5.1,33.2,8.0,-0.9,20.5,35.5,50.5,32.5,28.0,21.4,24.48,2.5,19.25,7,0,500,1400,205.5,101.3,104.3,3.0,67,-0.7,3.8,93,3,0.0,"Eli Roe, Kane Fitzgerald, Zach Zarba",,20,79,93,65,14,86,,91,86,93,95,83,1066264,25,93,83,14,0,,False,50,28,21,38,41,19,3,12165,30047102,201,3004710
