playernm_full,nba_id,bbmon_id,nf_id,rotoguru_id
Rudy Gobert,203497,3729,2178,4620
Russ Smith,203893,3950,2290,4672
Russell Westbrook,201566,2872,397,4079
Ryan Anderson,201583,2807,349,4085
Ryan Hollins,200797,2607,,3898
Ryan Kelly,203527,3697,,4648
Salah Mejri,1626257,3549,2391,4858
Sam Dekker,1626155,5008,,4856
Sasha Kaun,201619,5196,2389,4108
Sasha Vujacic,2756,2301,480,3681
Sean Kilpatrick,203930,4071,,4770
Serge Ibaka,201586,3015,79,4104
Sergey Karasev,203508,3683,2170,4618
Seth Curry,203552,3863,2213,4564
Shabazz Muhammad,203498,3706,2165,4594
Shabazz Napier,203894,3938,2271,4694
Shane Larkin,203499,3684,2169,4655
Shaun Livingston,2733,2313,274,3651
Shayne Whittington,203963,4103,2304,4687
Shelvin Mack,202714,3381,340,4377
Solomon Hill,203524,3695,2174,4566
Sonny Weems,201603,2871,504,4129
Spencer Dinwiddie,203915,3914,,4760
Spencer Hawes,201150,2728,219,3996
Stanley Johnson,1626169,5024,2333,4838
Stephen Curry,201939,2999,195,4173
Steve Blake,2581,1927,165,3518
Steve Novak,200779,2624,417,3895
Steven Adams,203500,3711,2163,4574
Taj Gibson,201959,3011,327,4167
Tarik Black,204028,3980,,4691
Tayshaun Prince,2419,1894,494,3416
Terrence Jones,203093,3527,2123,4511
Terrence Ross,203082,3581,2131,4549
Terry Rozier,1626179,5047,2341,4823
Thabo Sefolosha,200757,2636,87,3931
Thaddeus Young,201152,2769,228,4037
Thomas Robinson,203080,3579,2122,4509
Tiago Splitter,201168,3334,16,4024
Tibor Pleiss,202353,3142,2396,4304
Tim Duncan,1495,1822,6,2223
Tim Frazier,204025,4070,2317,4717
Tim Hardaway Jr.,203501,3709,2175,4628
Timofey Mozgov,202389,3335,135,4299
TJ McConnell,204456,5098,2390,4831
TJ Warren,203933,3956,2261,4724
Tobias Harris,202699,3367,269,4412
Toney Douglas,201962,3054,233,4178
Tony Allen,2754,2284,25,3619
Tony Parker,2225,2148,15,3313
Tony Snell,203503,3680,2171,4571
Tony Wroten,203100,3636,,4469
Trevor Ariza,2772,2370,18,3621
Trevor Booker,202344,3163,336,4267
Trey Burke,203504,3728,2160,4615
Trey Lyles,1626168,5029,2337,4806
Tristan Thompson,202684,3400,319,4380
Troy Daniels,203584,3771,2242,4658
Ty Lawson,201951,3025,132,4159
Tyler Ennis,203898,3917,2265,4729
Tyler Hansbrough,201946,3014,281,4171
Tyler Johnson,204020,3993,2313,4756
Tyler Zeller,203092,3639,2121,4516
Tyreke Evans,201936,3000,137,4207
Tyson Chandler,2199,2083,394,3307
Tyus Jones,1626145,5025,2349,4876
Udonis Haslem,2617,1789,365,3535
Victor Oladipo,203506,3714,2153,4627
Vince Carter,1713,1909,151,2448
Walter Tavares,204002,3953,,4867
Wayne Ellington,201961,3057,107,4185
Wesley Johnson,202325,3129,502,4292
Wesley Matthews,202083,3089,98,4164
Will Barton,203115,3436,2075,4522
Willie Cauley-Stein,1626161,5004,2331,4817
Willie Reed,203186,3658,,4579
Zach LaVine,203897,3932,2260,4706
Zach Randolph,2216,1983,33,3314
Zaza Pachulia,2585,2129,387,3553
Bryce Dejean-Jones,1626214,5129,2405,4784
Jeff Ayres,201965,,,4248
