Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,FloorPtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
59.84, Rudy Gobert,C,UTA,@LAL,2A,25,30.34,1112.0,29.1,-2.5,1.0,10.1,27.8,45.5,,,12.9,15.46,5.3,17.61,0,0,-2,-5,192.0,97.3,94.8,-2.5,43,-0.5,,50,1,0.1,"Brett Nansel, John Goble, Kevin Scott",,58,27,82,,,0,,65,0,68,25,65,,1247130,73,82,,95,0,,False,,,,,,,11,12475,30197701,201,3019770
59.82, Jameer Nelson,PG,DEN,CHR,  ,16,19.46,1087.5,23.9,-2.1,1.3,6.6,17.4,28.2,,,18.0,19.2,1.1,10.55,0,0,6,1,198.5,100.5,98.0,-2.5,63,-0.5,,50,2,0.0,"Ben Taylor, Eric Dalen, James Capers",Questionable,59,97,34,,,0,,50,0,65,26,69,,1247092,42,56,,0,0,,False,,,,,,,11,12664,30197502,201,3019750
59.7, Carl Landry,SF,PHI,CLE,2H,10,12.21,1210.0,12.7,-0.1,-4.3,-0.2,12.1,24.4,,,,26.74,-4.6,,0,0,0,0,206.0,95.3,111.3,16.0,32,0.3,,50,1,0.2,"Mark Lindsay, Scott Twardoski, Tony Brothers",,10,93,24,,,0,,8,0,80,0,80,,1246965,20,40,,89,0,,False,,,,,,,11,12175,30197102,201,3019710
59.62, Lance Thomas,SF,NY,MIL,  ,10,12.21,1110.0,19.1,-1.1,0.9,1.1,11.1,21.1,,,16.8,14.49,0.1,12.72,0,0,0,0,197.5,101.5,96.0,-5.5,69,-2.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,57,95,15,,,0,,20,0,68,0,74,,1247056,54,37,,89,0,,False,,,,,,,11,12317,30197402,201,3019740
59.57, Tyreke Evans,PG,NO,@LAC,  ,33,40.0,1103.0,35.1,-3.6,2.1,23.6,36.4,49.2,,,24.1,26.9,-0.4,18.84,0,0,2,5,204.0,97.3,106.8,9.5,43,-1.0,,50,2,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,69,32,88,,,0,,95,0,67,31,57,,1246922,36,95,,5,0,,False,,,,,,,11,12229,30197001,201,3019700
59.12, Chris Johnson,SF,UTA,@LAL,2A,10,12.21,1060.0,16.7,-1.6,6.6,0.4,10.6,19.8,,,15.4,15.89,5.3,12.86,0,0,,0,192.0,97.3,94.8,-2.5,43,-0.5,,50,1,0.1,"Brett Nansel, John Goble, Kevin Scott",,93,96,13,,,0,,13,0,60,0,71,,1247128,73,36,,50,0,,False,,,,,,,11,12433,30197701,201,3019770
58.88, Frank Kaminsky,PF,CHR,@DEN,2A,13,15.84,1130.8,19.0,-1.1,-1.0,3.2,14.7,26.2,,,16.1,17.48,-1.1,11.81,0,0,3,-2,198.5,98.0,100.5,2.5,48,-2.0,,50,1,0.0,"Ben Taylor, Eric Dalen, James Capers",,38,97,27,,,0,,33,0,71,0,74,,1247066,58,46,,1,0,,False,,,,,,,11,12067,30197501,201,3019750
58.77, Luc Mbah a Moute,PF,LAC,NO,2H,10,12.21,1060.0,20.6,-1.6,4.5,1.6,10.6,19.6,,,8.8,11.04,0.4,7.26,0,0,0,0,204.0,106.8,97.3,-9.5,89,0.5,,50,1,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,85,89,12,,,0,,22,0,60,0,71,,1246937,64,36,,89,0,,False,,,,,,,11,12217,30197002,201,3019700
58.67, Tayshaun Prince,SF,MIN,DAL,  ,10,12.21,1180.0,25.2,-0.4,-3.6,2.0,11.8,21.6,,,7.6,8.42,0.1,5.98,0,0,0,-4,199.0,97.3,101.8,4.5,43,-0.5,,50,2,0.0,"Dedric Taylor, Derek Richardson, Mike Callahan",,14,89,17,,,0,,26,0,77,0,78,,1246915,21,39,,89,0,,False,,,,,,,11,12615,30196902,201,3019690
58.22, Jabari Parker,PF,MIL,@NY,  ,18,21.88,1177.8,31.8,-0.7,-4.9,6.8,21.2,35.6,,,18.3,18.62,-0.1,13.92,0,0,2,0,197.5,96.0,101.5,5.5,36,-3.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,8,55,60,,,0,,51,0,77,25,76,,1247048,46,67,,5,0,,False,,,,,,,11,12560,30197401,201,3019740
58.06, Nicolas Batum,SG,CHR,@DEN,2A,32,38.79,1078.1,38.1,-4.3,3.4,22.7,34.5,46.3,,,22.2,20.06,-1.1,17.25,0,0,0,6,198.5,98.0,100.5,2.5,48,-2.0,,50,1,0.0,"Ben Taylor, Eric Dalen, James Capers",Questionable,80,18,84,,,0,,95,0,64,30,51,,1248770,58,93,,89,0,,False,,,,,,,11,12208,30197501,201,3019750
57.72, Matthew Dellavedova,PG,CLE,@PHI,  ,14,17.05,1071.4,23.6,-2.1,4.5,4.9,15.0,25.1,,,15.9,12.39,4.6,13.49,0,0,0,0,206.0,111.3,95.3,-16.0,96,1.8,,50,2,0.2,"Mark Lindsay, Scott Twardoski, Tony Brothers",,85,55,25,,,0,,41,0,62,25,69,,1246953,80,47,,89,0,,False,,,,,,,11,12494,30197101,201,3019710
57.1, Gorgui Dieng,C,MIN,DAL,  ,18,21.88,1111.1,25.2,-1.9,2.4,4.1,20.0,35.9,,,15.7,15.6,0.1,15.04,0,0,4,-4,199.0,97.3,101.8,4.5,43,-0.5,,50,2,0.0,"Dedric Taylor, Derek Richardson, Mike Callahan",,74,28,61,,,0,,39,0,68,0,69,,1246909,21,64,,0,0,,False,,,,,,,11,12457,30196902,201,3019690
