Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
51.83, Gary Neal,SG,WAS,MEM,  ,3800,13.55,3.9,22.0,1.3,-1.1,4.2,14.8,25.4,18.4,14.5,18.6,22.06,-4.1,14.2,6,0,300,-200,201.5,100.3,101.8,1.5,62,-1.7,1.5,67,2,0.0,"Marat Kogut, Scott Wall, Sean Wright",Questionable,16,94,38,62,13,54,,35,78,52,55,90,1036756,45,34,40,21,0,,False,61,30,7,42,40,16,3,12311,30042802,201,3004280
51.71, Channing Frye,PF,ORL,HOU,  ,3700,13.12,3.9,22.5,1.2,0.7,4.4,14.3,24.2,13.5,13.3,13.1,14.35,2.6,13.47,1,1,200,-100,208.0,104.5,103.5,-1.0,82,0.5,0.1,47,2,-0.2,"Bill Kennedy, David Guthrie, Steven Anderson",,69,79,36,47,13,65,,35,6,52,54,64,1031150,47,32,35,26,1,,False,38,38,23,32,36,30,3,12016,30042702,201,3004270
51.53, Ben McLemore,SG,SAC,@IND,  ,3600,12.68,3.7,23.6,0.7,0.6,3.8,13.4,23.0,16.0,17.6,15.7,15.46,-2.3,10.99,4,0,-100,-1200,215.0,104.3,110.8,7.0,81,0.3,2.5,81,2,0.1,"Dedric Taylor, Ed Malloy, Josh Tiven",,65,89,33,80,13,80,,33,54,43,49,61,1031117,20,28,52,69,0,,False,53,38,7,31,46,22,3,12449,30042601,201,3004260
51.53, Dwight Howard,C,HOU,@ORL,  ,7400,29.26,3.7,27.8,-2.3,1.6,9.9,27.0,44.1,30.2,31.6,17.6,17.95,-2.6,18.6,7,0,-700,-1100,208.0,103.5,104.5,1.0,78,1.0,-1.3,33,2,-0.2,"Bill Kennedy, David Guthrie, Steven Anderson",,90,51,85,37,14,63,,67,86,43,24,51,1031148,52,77,88,92,0,,False,28,28,42,28,33,38,3,12649,30042701,201,3004270
51.12, Joe Johnson,SG,BKN,DAL,  ,5300,20.1,3.9,32.8,0.5,0.2,9.6,20.6,31.6,19.7,24.2,17.8,15.42,0.4,9.08,5,1,-700,-1500,199.0,98.0,101.0,3.5,48,0.5,0.7,56,2,0.3,"Justin VanDuyne, Mark Lindsay, Tony Brothers",,53,26,57,57,14,87,,66,67,52,48,51,1031221,15,57,75,92,1,,False,14,42,42,28,39,32,3,12597,30042902,201,3004290
50.85, Meyers Leonard,C,POR,@NO,  ,3800,13.55,3.9,22.6,1.4,-0.2,3.7,14.9,26.1,15.3,14.4,16.4,15.89,1.8,9.27,3,0,-600,-1100,203.0,97.8,105.3,7.5,46,1.3,-0.3,42,2,0.0,"Derrick Collins, Haywoode Workman, Zach Zarba",,40,65,40,82,14,71,,32,39,52,56,35,1031317,49,34,39,90,0,,False,14,57,28,23,47,28,3,12379,30043301,201,3004330
50.31, D'Angelo Russell,PG,LAL,OKC,2H,5600,21.41,3.7,27.3,-0.9,0.9,10.7,20.5,30.3,23.4,22.2,22.2,22.21,-0.1,12.49,6,0,400,-100,207.0,96.8,110.3,13.5,40,-0.2,2.4,81,1,0.0,"Curtis Blair, Kane Fitzgerald, Tom Washington",,75,65,52,95,15,28,,69,78,43,35,30,1031414,15,57,69,17,0,,False,26,53,20,21,57,21,3,12060,30043602,201,3004360
50.14, Trey Burke,PG,UTA,@GS,  ,4600,17.05,3.9,23.3,0.9,-0.8,6.8,17.9,29.0,17.5,21.5,23.8,21.7,8.4,15.68,5,0,-100,-1200,208.5,97.5,111.5,14.0,45,0.5,1.3,66,2,-0.2,"Kevin Cutler, Leroy Richardson, Ron Garretson",,22,56,49,69,13,73,,56,67,52,51,58,1031378,23,46,67,69,0,,False,30,46,23,30,42,27,3,12482,30043501,201,3004350
50.11, Dennis Schroder,PG,ATL,DET,  ,4700,17.48,3.9,19.6,0.7,-1.4,5.9,18.2,30.5,19.4,19.0,25.5,26.84,-0.7,16.42,3,1,-300,100,201.5,103.8,97.8,-6.0,79,-0.5,0.8,58,2,-0.2,"Ben Taylor, Brent Barnaky, Sean Corbin",,10,91,53,43,15,95,,42,39,52,49,41,1031246,49,47,58,80,1,,False,33,33,33,25,35,38,3,12453,30043002,201,3004300
50.02, David West,PF,SAN,@MIN,  ,3600,12.68,3.5,15.8,-0.1,2.5,2.3,12.6,22.9,13.8,21.3,17.6,16.75,2.6,15.15,5,0,-200,-1400,195.5,103.3,92.3,-11.0,77,-1.0,0.7,56,2,-0.2,"Derrick Stafford, Eric Dalen, James Williams",,97,84,33,89,15,81,,25,67,35,42,47,1031292,85,25,67,75,0,,False,33,60,6,27,50,22,3,12632,30043201,201,3004320
