Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
89.48, Russell Westbrook,PG,OKC,LAL,  ,10500,42.79,4.6,35.4,5.9,2.1,33.2,48.7,64.2,46.0,50.2,35.0,33.75,-0.1,30.66,10,2,-1200,-300,208.5,112.8,96.8,-16.0,98,0.0,3.9,94,2,0.1,"Derrick Collins, Tre Maddox, Zach Zarba",,95,74,99,39,14,70,,99,98,83,89,92,981992,82,99,99,98,2,,False,42,35,21,44,34,21,3,12188,30008702,201,3000870
89.27, Kevin Durant,SF,OKC,LAL,  ,10000,40.61,4.8,36.8,7.0,0.2,33.8,47.6,61.4,44.4,43.7,28.3,31.46,-0.1,29.55,7,1,,-300,208.5,112.8,96.8,-16.0,98,0.0,1.2,63,2,0.1,"Derrick Collins, Tre Maddox, Zach Zarba",,53,84,98,57,12,38,,99,86,88,93,51,981991,82,99,98,50,1,,False,25,50,25,28,39,31,3,12157,30008702,201,3000870
88.94, Blake Griffin,PF,LAC,@HOU,2A,9200,37.12,4.9,36.4,7.8,0.6,25.5,44.9,64.3,40.1,42.4,29.0,30.99,1.8,25.1,9,2,-500,-700,212.0,106.0,107.5,-1.0,87,0.2,2.5,82,1,-0.3,"Josh Tiven, Matt Boland, Monty McCutchen",,65,51,99,65,16,81,,97,96,90,95,72,982067,64,98,98,87,2,,False,37,50,12,34,41,23,3,12226,30009001,201,3000900
83.62, DeAndre Jordan,C,LAC,@HOU,2A,7400,29.26,4.7,36.2,5.7,2.1,18.3,35.0,51.7,34.4,36.2,13.0,12.24,1.8,19.56,6,2,-200,-300,212.0,106.0,107.5,-1.0,87,0.2,2.3,80,1,-0.3,"Josh Tiven, Matt Boland, Monty McCutchen",,95,26,94,77,16,96,,89,78,86,88,58,982065,64,92,95,75,2,,False,37,37,25,30,45,23,3,12215,30009001,201,3000900
83.37, Nicolas Batum,SF,CHR,@WAS,  ,7000,27.52,4.6,35.3,4.9,0.1,21.1,32.4,43.7,32.3,27.2,22.6,22.76,2.6,17.78,8,2,0,500,205.5,102.5,103.5,-1.0,74,-1.0,2.5,82,2,-0.2,"Bill Kennedy, Dan Crawford, J.T. Orr",Probable,50,94,85,65,12,78,,92,92,83,84,72,982007,60,88,82,63,2,,False,41,41,16,34,41,24,3,12208,30008801,201,3000880
82.93, Jeremy Lin,PG,CHR,@WAS,  ,5100,19.23,5.0,28.4,6.2,1.3,13.5,25.4,37.3,20.9,21.9,21.6,27.74,2.6,16.17,4,1,400,300,205.5,102.5,103.5,-1.0,74,-1.0,3.6,92,2,-0.2,"Bill Kennedy, Dan Crawford, J.T. Orr",,86,65,72,47,13,73,,78,54,92,90,84,982009,60,73,69,17,1,,False,46,30,23,39,36,23,3,12312,30008801,201,3000880
82.06, John Wall,PG,WAS,CHR,  ,9800,39.73,4.6,38.4,5.1,0.2,29.4,44.8,60.2,40.2,38.6,28.6,31.74,-2.6,21.07,6,0,700,400,205.5,103.5,102.5,1.0,78,1.0,1.2,64,3,-0.2,"Bill Kennedy, Dan Crawford, J.T. Orr",,53,47,98,65,15,85,,98,78,83,85,58,982026,40,98,96,9,0,,False,40,33,26,30,41,28,3,12273,30008802,201,3000880
81.88, Lou Williams,SG,LAL,@OKC,  ,5200,19.66,4.9,31.8,6.0,0.6,14.0,25.7,37.4,22.2,22.4,21.2,23.71,0.1,16.61,4,0,400,400,208.5,96.8,112.8,16.0,40,-0.5,3.4,90,2,0.1,"Derrick Collins, Tre Maddox, Zach Zarba",,65,79,72,80,13,80,,79,54,90,89,64,981975,18,74,70,17,0,,False,38,46,15,32,46,21,3,12032,30008701,201,3000870
81.61, Marcin Gortat,C,WAS,CHR,  ,6600,25.77,4.9,32.1,6.8,-1.0,16.6,32.6,48.6,30.4,27.1,18.1,21.32,-2.6,16.86,5,0,700,100,205.5,103.5,102.5,1.0,78,1.0,2.7,85,3,-0.2,"Bill Kennedy, Dan Crawford, J.T. Orr",,18,56,91,54,12,88,,84,67,90,92,72,982018,40,89,82,9,0,,False,58,41,0,34,38,27,3,12036,30008802,201,3000880
81.4, Marc Gasol,C,MEM,IND,2H,7600,30.14,4.6,36.9,4.7,0.3,20.1,34.8,49.5,34.6,34.5,21.9,23.34,2.9,17.45,8,0,100,-800,201.5,101.3,100.3,-2.0,67,-0.5,2.4,81,1,-0.2,"Mike Callahan, Rodney Mott, Scott Twardoski",,56,56,92,80,16,93,,91,92,83,83,69,982109,37,92,93,32,0,,False,37,31,31,33,46,20,3,12178,30009102,201,3000910
