Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
85.9, Joakim Noah,C,CHI,@NY,2A,4900,18.35,5.4,28.0,8.3,0.8,10.1,26.6,43.1,23.2,25.1,13.9,13.88,-2.5,13.37,6,0,200,-800,194.5,96.3,98.3,2.0,37,-2.7,1.3,64,1,0.0,"Aaron Smith, Ken Mauer, Michael Smith",Starting,72,84,84,54,13,81,,67,78,96,96,53,982035,46,76,78,26,0,,False,69,15,15,29,38,32,3,12163,30008901,201,3000890
85.57, Kevin Durant,SF,OKC,LAL,  ,10000,40.61,4.8,36.8,7.0,0.2,33.8,47.6,61.4,44.4,43.7,28.3,30.96,-0.1,29.55,7,1,,-300,208.0,112.0,96.0,-16.0,97,-0.8,1.2,63,2,0.1,"Derrick Collins, Tre Maddox, Zach Zarba",,53,84,98,57,12,38,,99,86,88,93,51,981991,69,99,98,50,1,,False,25,50,25,28,39,31,3,12157,30008702,201,3000870
85.39, Russell Westbrook,PG,OKC,LAL,  ,10500,42.79,4.5,34.5,4.6,2.1,32.2,47.4,62.6,46.0,50.2,35.0,33.21,-0.1,30.66,10,2,-1200,-300,208.0,112.0,96.0,-16.0,97,-0.8,3.9,94,2,0.1,"Derrick Collins, Tre Maddox, Zach Zarba",,95,74,99,39,14,70,,99,98,79,82,92,981992,69,99,99,98,2,,False,42,35,21,44,34,21,3,12188,30008702,201,3000870
80.22, Lou Williams,SG,LAL,@OKC,  ,5200,19.66,4.9,31.8,6.0,0.6,14.0,25.7,37.4,22.2,22.4,21.2,25.22,0.1,16.61,4,0,400,400,208.0,96.0,112.0,16.0,36,-1.3,3.4,90,2,0.1,"Derrick Collins, Tre Maddox, Zach Zarba",,65,79,72,80,13,80,,79,54,90,89,64,981975,31,74,70,17,0,,False,38,46,15,32,46,21,3,12032,30008701,201,3000870
78.83, Mike Conley,PG,MEM,IND,2H,6100,23.59,4.6,32.4,4.6,0.7,16.6,28.2,39.8,28.0,26.9,22.8,22.67,2.9,17.93,7,0,-600,-300,200.0,100.5,99.5,-1.0,63,-1.3,1.1,61,1,-0.2,"Mike Callahan, Rodney Mott, Scott Twardoski",,69,65,78,80,16,79,,84,86,83,82,61,982106,45,80,81,90,0,,False,31,56,12,31,46,21,3,12159,30009102,201,3000910
78.42, Patrick Beverley,PG,HOU,LAC,  ,4300,15.74,5.2,31.3,6.8,-0.6,12.3,22.5,32.7,20.8,19.5,15.7,15.61,-1.8,11.54,5,0,800,300,212.0,104.8,107.3,2.5,83,-2.0,1.6,70,2,-0.3,"Josh Tiven, Matt Boland, Monty McCutchen",,27,96,60,80,13,63,,73,67,94,92,61,982081,34,64,60,7,0,,False,69,30,0,31,46,22,3,12257,30009002,201,3000900
78.24, Nicolas Batum,SF,CHR,@WAS,  ,7000,27.52,4.5,32.3,3.9,0.1,20.0,31.4,42.8,32.3,27.2,22.6,24.76,2.6,17.78,8,2,0,500,206.0,103.8,102.3,-1.5,79,0.3,2.5,82,2,-0.2,"Bill Kennedy, Dan Crawford, J.T. Orr",Active,50,94,83,65,12,78,,91,92,79,77,72,982007,71,86,82,63,2,,False,41,41,16,34,41,24,3,12208,30008801,201,3000880
78.23, Marc Gasol,C,MEM,IND,2H,7600,30.14,4.6,36.9,4.7,0.3,20.1,34.8,49.5,34.6,34.5,21.9,23.34,2.9,17.45,8,0,100,-800,200.0,100.5,99.5,-1.0,63,-1.3,2.4,81,1,-0.2,"Mike Callahan, Rodney Mott, Scott Twardoski",,56,56,92,80,16,93,,91,92,83,83,69,982109,45,92,93,32,0,,False,37,31,31,33,46,20,3,12178,30009102,201,3000910
77.53, Gary Neal,SG,WAS,CHR,  ,3800,13.55,4.9,27.0,5.1,0.6,6.6,18.6,30.6,17.9,14.4,18.6,21.2,-2.6,14.63,6,0,300,-200,206.0,102.3,103.8,1.5,72,-0.2,1.4,67,3,-0.2,"Bill Kennedy, Dan Crawford, J.T. Orr",,65,91,53,69,13,56,,56,78,90,85,88,982027,29,49,39,21,0,,False,53,38,7,41,42,16,3,12311,30008802,201,3000880
77.23, John Wall,PG,WAS,CHR,  ,9800,39.73,4.6,38.4,5.1,0.2,29.4,44.8,60.2,40.2,38.6,28.6,31.47,-2.6,21.07,6,0,700,400,206.0,102.3,103.8,1.5,72,-0.2,1.2,64,3,-0.2,"Bill Kennedy, Dan Crawford, J.T. Orr",Active,53,47,98,65,15,85,,98,78,83,85,58,982026,29,98,96,9,0,,False,40,33,26,30,41,28,3,12273,30008802,201,3000880
